Cluster ID,Point Count,Volume,Density,Centroid X,Centroid Y,Centroid Z
1,5,7.12547e-07,7.01708e+06,1.33806,2.2562,0.7202
2,4,2.49084e-05,160588,1.2754,2.63768,0.722
3,8,4.29511e-05,186258,1.07106,2.58466,0.71775
4,14,0.00109608,12772.7,1.68051,3.06916,0.717571
5,10,0.000144389,69257.3,2.15163,2.07074,0.7238
6,4,1.67412e-06,2.38932e+06,2.37173,2.10057,0.72025
7,5,6.07325e-06,823282,2.77628,2.21822,0.7212
8,20,0.000757889,26389.1,2.98099,2.30694,0.72005
9,7,2.25277e-05,310728,2.72071,2.4152,0.716571
10,11,6.04201e-05,182059,3.02459,2.67285,0.722273
11,10,0.00191504,5221.82,2.73365,1.82162,0.7187
12,7,0.0032999,2121.28,2.41744,1.66911,0.722286
13,8,8.74498e-05,91481.1,1.72481,1.36694,0.720875
14,9,7.6798e-05,117191,1.68107,1.05148,0.720111
15,8,0.000694851,11513.3,1.75816,1.06959,0.721
16,43,0.00383914,11200.4,1.32558,1.07655,0.721139
17,6,0.000112149,53500.3,1.07173,0.97885,0.72
18,6,1.59218e-05,376841,0.899183,0.5712,0.716
19,4,1.50356e-06,2.66034e+06,0.7367,0.479,0.7165
20,6,3.88308e-05,154516,0.691683,0.622667,0.723833
21,9,0.000137866,65280.6,0.7532,0.785811,0.720778
22,20,0.00154453,12948.9,1.08823,0.65503,0.72155
23,7,0.000347819,20125.4,1.79961,0.382029,0.722
24,6,0.000489038,12269,2.15502,0.755183,0.723167
25,12,0.000585612,20491.4,3.27916,2.18059,0.719833
26,6,7.53071e-05,79673.8,3.57263,2.17437,0.719667
27,8,0.000109203,73257.8,3.89871,1.8876,0.72325
28,6,1.66873e-05,359556,4.13708,1.78575,0.718833
29,5,1.43236e-05,349075,3.47984,1.68882,0.7182
30,10,7.84681e-05,127440,3.73149,1.44157,0.7181
31,11,0.000609973,18033.6,3.78712,1.31552,0.722091
32,17,0.000399652,42537,4.47028,1.00838,0.722235
33,10,0.000772435,12946.1,4.32249,1.02492,0.7203
34,7,1.60261e-05,436788,4.19096,0.739686,0.719429
35,7,0.000254901,27461.6,4.30953,0.482057,0.722571
36,5,1.20819e-05,413842,4.96194,0.90164,0.7202
37,8,7.59374e-05,105350,4.50176,2.08261,0.723375
38,6,5.2096e-05,115172,4.71422,2.02668,0.724667
39,3,0,0,4.93173,1.7183,0.72
40,7,4.96205e-05,141071,5.08464,1.60536,0.721571
41,6,0.000239279,25075.3,4.75513,1.86898,0.7195
42,15,0.00310815,4826.02,4.30977,2.12095,0.721733
43,5,7.82905e-06,638647,4.51336,2.48258,0.7252
44,6,2.54815e-05,235465,4.73813,2.49573,0.718333
45,5,8.74202e-05,57195,3.45262,1.66384,0.718
46,18,0.00617382,2915.54,3.68632,0.954472,0.721
47,7,4.08378e-05,171410,3.10271,0.560671,0.725429
48,4,2.30044e-05,173880,2.92458,0.9544,0.72225
49,9,3.83255e-05,234830,2.60691,0.995644,0.720667
50,6,9.96053e-06,602377,2.93827,1.19023,0.7235
51,26,0.0169428,1534.58,2.73342,3.14081,0.721615
52,7,0.000113206,61834.3,3.03196,3.51996,0.722429
53,4,3.50119e-06,1.14247e+06,3.22547,3.44042,0.72525
54,12,9.36917e-05,128080,2.78553,3.34412,0.719333
55,7,3.74641e-05,186845,3.80984,3.76129,0.718
56,15,0.000428636,34994.8,3.92641,3.74133,0.721733
57,4,4.74833e-06,842402,3.91062,3.51708,0.71875
58,4,4.42597e-06,903758,4.1162,3.67372,0.72125
59,7,3.36924e-05,207762,4.09354,3.41277,0.722429
60,11,0.000129713,84802.8,4.27777,3.25776,0.722091
61,4,1.01639e-05,393548,4.57885,3.09015,0.72025
62,164,0.00599209,27369.4,4.93685,3.22959,0.720366
63,16,0.00107032,14948.9,5.01389,3.8193,0.718938
64,4,8.77581e-07,4.55798e+06,4.46327,3.59807,0.717
65,8,4.43023e-05,180577,4.93094,4.1823,0.72075
66,10,5.55173e-05,180124,5.09275,4.36951,0.7181
67,6,3.33113e-05,180119,4.83783,3.70648,0.721167
68,6,0.000503919,11906.7,3.71277,3.81458,0.724833
69,5,1.24659e-05,401094,3.20898,3.95722,0.72
70,6,1.38878e-05,432034,3.5852,4.1096,0.723833
71,5,0.000370134,13508.6,3.39038,3.89002,0.721
72,12,0.000111167,107946,3.46051,4.58307,0.720667
73,8,0.00858742,931.596,3.73586,2.50248,0.721625
74,14,0.00525374,2664.77,0.796821,3.79422,0.720357
75,15,0.00581063,2581.48,1.23452,4.36279,0.7228
76,2,0,0,0.4532,3.65655,0.7165
